customer_id,cc_num
1,2703186189652095
2,630423337322
3,38859492057661
4,3534093764340240
5,375534208663984
6,4767265376804500
7,30074693890476
8,6011360759745864
9,4922710831011201
10,2720830304681674
11,4642894980163
12,377234009633447
13,180042946491150
14,5559857416065248
15,3514865930894695
16,6011999606625827
17,6011860238257910
18,3565423334076143
19,2348245054386329
20,4956828990005111019
21,4469777115158234880
22,2305336922781618
23,180048185037117
24,630441765090
25,4428780983793657331
26,343464013864032
27,374930071163758
28,4334230547694630
29,4225990116481262579
30,4260059589824237
31,180094608895855
32,4599735407877245080
33,630412733309
34,2712209726293386
35,374125201044065
36,349612764943496
37,3598215285024754
38,213141712584544
39,30561214688470
40,4789911625179723
41,676372984911
42,30011465039817
43,4642255475285942
44,180067784565096
45,213126662687660
46,2266735643685262
47,3553629419254918
48,3511058278399773
49,4110266553600176127
50,4265776278887457
51,3583793405872580
52,213193596103206
53,60495593109
54,4725837176265195730
55,30404291151692
56,213178850083780
57,2356276337669917
58,3568736585751727
59,4509142395811241
60,3547560454237873
61,4433091568498503
62,2720433095629877
63,4716561796955522
64,3536918668124647
65,3525668150756629
66,4707867759656333
67,4666314527820883145
68,2248735346244816
69,4512828414983801773
70,3501509250702469
71,30273037698427
72,3558881852140592
73,30487648872433
74,571465035400
75,378006354724784
76,341283058448499
77,4481131401752
78,4687263141103
79,5456776410929288
80,4981132848794
81,6011893664860915
82,6534628260579800
83,376028110684021
84,571365235126
85,3518758680062249
86,3577578023716568
87,213112402583773
88,3592325941359225
89,4683520018489354
90,3502088871723054
91,6511349151405438
92,4198470814557
93,4423489490781412
94,3518234918950662
95,6593250708747804
96,6011492816282597
97,4149238353975790
98,639046421587
99,2235613922823698
100,5104807169438134
101,180040027502291
102,4129767952109660
103,4018105808392773675
104,4474324669797121
105,30376238035123
106,348789608637806
107,180014262259255
108,2260801330657968
109,4979422371139333
110,375767678113375
111,6011388901471808
112,4607072969078276
113,4229733778084049
114,502012776709
115,501882822387
116,30270432095985
117,4683638447911
118,3567879740649740
119,6011104316292105
120,3506592072985012
121,3519607465576254
122,676245600876
123,36360452125889
124,3543299015720986
125,6011504998544485
126,4958589671582726883
127,3565943051129759
128,4060579726528237
129,4186530744674
130,6515067575568369
131,3541687240161491
132,213175487106448
133,36721445180895
134,3511378610369890
135,6011367958204270
136,38199021865320
137,213113028819344
138,4653879239169997
139,3583635130604947
140,3541160328600277
141,348379466427142
142,374821819075109
143,30442439074871
144,213124978348176
145,4646845581490336108
146,2233882705243596
147,4623560839669
148,374656033243756
149,4997733566924489
150,36890292963032
151,4538566639857
152,3514897282719543
153,4089096483689733451
154,4410582919485061752
155,3577663406369449
156,3558652751678952
157,2318062975163331
158,4998109455173950
159,4079773899158
160,4740713119940984
161,6011552879910390
162,4116554952971686
163,3575789281659026
164,4560004149983868183
165,4393520897625
166,4488258847705225890
167,30092964733035
168,4302480582202074
169,3533742182628021
170,4969856774088583
171,30344654314976
172,3541554378551366
173,4761403817546679245
174,4239552724014407
175,6517217825320610
176,3560336828629935
177,4364010865167176
178,4826655832045236
179,3595111028444131
180,4745996322265
181,3576431665303017
182,3566094707272327
183,3598895972308782
184,4992346398065154184
185,6573561108825071
186,3573386445588324
187,2264937662466770
188,3534330126107879
189,4449530933957323
190,36078114201167
191,4220345354880
192,4710826438164847414
193,4119762878330989
194,4171397999167005
195,377026671291680
196,3533177016567295
197,2235335206132667
198,4195740185974
199,4561892980175
200,6011231546538393
201,4681699462969
202,340953839692349
203,373905417449658
204,4926376199189801
205,213154573301411
206,4502539526809429801
207,4311368326621416041
208,372246459334925
209,4873783502705038
210,341546199006537
211,4710792708725663
212,30242921189660
213,581686439828
214,4586260469584
215,30235268718158
216,4587657402165341815
217,180067151859700
218,36485887555770
219,3559160581764413
220,6592074504369261
221,4658490815480264
222,501802953619
223,4560395181594436016
224,4988304376504
225,5456712664803820
226,676195318214
227,4839615922685395
228,213180742685905
229,4855853415727304322
230,343819048608995
231,377550167323848
232,3561212938177173
233,374497717543058
234,213195754007681
235,4769426683924058915
236,3519232971341141
237,2720012583106919
238,6597888193422452
239,3521815216091574
240,4355790796238264643
241,3596217206093829
242,38947654498698
243,6506982560413523
244,4048508450704760
245,4099707841315751
246,4452366298769043
247,3506042666828517
248,571844099986
249,4045036286570100739
250,4400011257587661852
251,4862293128558
252,3529597810116815
253,2284059275940012
254,30328384440870
255,4255397449664185994
256,213186880359195
257,4319584480204988982
258,374238209524200
259,4505383113689
260,2713913904780408
261,213161231269724
262,6011934240159560
263,4727244663135968
264,377895991033232
265,30082025922891
266,345060451158891
267,4457732997086323466
268,4671727014157745
269,180068353086472
270,2242542703101233
271,4147608975828480
272,2285066385084291
273,377654590313960
274,6011438889172900
275,342360239917375
276,4797297220948468262
277,4302475216404898
278,180072527505094
279,503874407318
280,3593118134380341
281,3543591270174051
282,4586810168620942
283,38588538868506
284,4169388510116
285,3531129874770000
286,375248307838179
287,36913587729122
288,213156747557083
289,3565996340207976
290,2475085306462014
291,180065479077096
292,180069253480336
293,347073228412010
294,4939976756738216
295,3546897637165774
